JPE_redd_id,date,survey_method,longitude,latitude,reach,reach_sub_unit,river_mile,redd_loc,pre_redd_substrate_size,redd_substrate_size,tail_substrate_size,fish_guarding,redd_measured,why_not_measured,pre_redd_depth,redd_pit_depth,redd_tail_depth,redd_length,redd_width,flow_meter,flow_fps,start_number_flow_meter,end_number_flow_meter,flow_meter_time,start_number_flow_meter_80,end_number_flow_meter_80,flow_meter_time_80,survey,run,species,age_index,age,date_measured,tailspill,fork
Redd_0657,2008-11-13,Snorkel,-122,40,R4,NA,15,RL,1-3,1-3,1-3,NO,TRUE,UNK,11,19,9,216,110,Flow Bomb,1,815000,816594,100,NA,NA,NA,4,spring,Chinook,3,3,NA,NA,NA
Redd_0658,2008-10-01,Snorkel,-122,40,R4,NA,15,RC,2-4,2-4,1-3,NO,TRUE,UNK,20,24,16,112,61,Flow Bomb,2,850500,852595,100,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0659,2008-10-01,Snorkel,-122,40,R4,NA,14,RR,NA,NA,NA,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0660,2008-10-01,Snorkel,-122,40,R4,NA,14,RC,0.1-1,1-3,1-2,NO,TRUE,UNK,11,13,10,64,43,Flow Bomb,1,817000,818303,100,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0660,2008-10-15,Snorkel,-122,40,R4,NA,14,RC,0.1-1,1-3,1-2,NO,TRUE,UNK,11,13,10,64,43,Flow Bomb,1,817000,818303,100,NA,NA,NA,4,spring,Chinook,2,3,NA,NA,NA
Redd_0660,2008-11-13,Snorkel,-122,40,R4,NA,14,RC,0.1-1,1-3,1-2,NO,TRUE,UNK,11,13,10,64,43,Flow Bomb,1,817000,818303,100,NA,NA,NA,4,spring,Chinook,3,4,NA,NA,NA
Redd_0661,2008-10-01,Snorkel,-122,40,R4,NA,2,RR,0.1-1,2-3,1-3,NO,TRUE,UNK,11,15,8,238,108,Flow Bomb,1,818000,819224,100,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0661,2008-10-15,Snorkel,-122,40,R4,NA,2,RR,0.1-1,2-3,1-3,NO,TRUE,UNK,11,15,8,238,108,Flow Bomb,1,818000,819224,100,NA,NA,NA,4,spring,Chinook,2,2,NA,NA,NA
Redd_0661,2008-11-13,Snorkel,-122,40,R4,NA,2,RR,0.1-1,2-3,1-3,NO,TRUE,UNK,11,15,8,238,108,Flow Bomb,1,818000,819224,100,NA,NA,NA,4,spring,Chinook,3,3,NA,NA,NA
Redd_0662,2008-10-01,Snorkel,-122,40,R4,NA,2,RL,2-4,2-4,2-4,NO,TRUE,UNK,23,27,17,218,145,Flow Bomb,3,819000,821876,100,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0663,2008-10-01,Snorkel,-122,40,R4,NA,2,RL,0.1-1,0.1-1,1-3,NO,TRUE,UNK,9,12,6,237,115,Flow Bomb,1,822000,822807,100,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0664,2008-10-01,Snorkel,-122,40,R4,NA,2,RL,NA,NA,NA,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0665,2008-10-01,Snorkel,-122,40,R4,NA,2,RL,1-2,1-2,1-2,NO,TRUE,UNK,9,13,5,67,47,Flow Bomb,2,848800,850533,100,NA,NA,NA,4,spring,Chinook,1,3,NA,NA,NA
Redd_0666,2008-10-01,Snorkel,-122,40,R4,NA,2,RR,NA,NA,NA,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0667,2008-10-01,Snorkel,-122,40,R4,NA,0,RC,NA,NA,NA,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_1056,2012-10-01,Snorkel,-122,40,R3,NA,2,RR,0.1-1,0.1-1,1-2,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,1,2,NA,NA,NA
Redd_1056,2012-10-09,Snorkel,-122,40,R3,NA,2,RR,0.1-1,0.1-1,1-2,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,2,3,NA,NA,NA
Redd_1056,2012-10-22,Snorkel,-122,40,R3,NA,2,RR,0.1-1,0.1-1,1-2,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,3,3,NA,NA,NA
Redd_1057,2012-10-01,Snorkel,-122,40,R3,NA,2,RL,1-3,1-3,1-3,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,1,2,NA,NA,NA
Redd_1057,2012-10-09,Snorkel,-122,40,R3,NA,2,RL,1-3,1-3,1-3,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,2,3,NA,NA,NA
Redd_1057,2012-10-22,Snorkel,-122,40,R3,NA,2,RL,1-3,1-3,1-3,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,3,3,NA,NA,NA
Redd_1058,2012-10-01,Snorkel,-122,40,R3,NA,2,RL,1-3,1-3,1-2,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,1,2,NA,NA,NA
Redd_1058,2012-10-09,Snorkel,-122,40,R3,NA,2,RL,1-3,1-3,1-2,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,2,3,NA,NA,NA
Redd_1058,2012-10-22,Snorkel,-122,40,R3,NA,2,RL,1-3,1-3,1-2,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,3,2,NA,NA,NA
Redd_1059,2012-10-01,Snorkel,-122,40,R3,NA,2,RC,2-4,1-3,1-2,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,1,2,NA,NA,NA
Redd_1059,2012-10-09,Snorkel,-122,40,R3,NA,2,RC,2-4,1-3,1-2,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,2,2,NA,NA,NA
Redd_1059,2012-10-22,Snorkel,-122,40,R3,NA,2,RC,2-4,1-3,1-2,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,3,3,NA,NA,NA
Redd_1060,2012-10-01,Snorkel,-122,40,R3,NA,2,RR,2-4,1-3,1-2,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,1,2,NA,NA,NA
Redd_1060,2012-10-09,Snorkel,-122,40,R3,NA,2,RR,2-4,1-3,1-2,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,2,3,NA,NA,NA
Redd_1060,2012-10-22,Snorkel,-122,40,R3,NA,2,RR,2-4,1-3,1-2,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,3,3,NA,NA,NA
Redd_1061,2012-10-01,Snorkel,-122,40,R3,NA,2,RL,1-3,3-5,1-3,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,spring,Chinook,1,2,NA,NA,NA
